,date,boundsId,weight,quantity
345,2018-10-27 02:00:00,716,930.0,
346,2019-04-22 02:00:00,716,50.0,
347,2019-09-30 02:00:00,716,150.0,
348,2019-03-28 01:00:00,724,200.0,
349,2020-05-17 02:00:00,735,70.0,
350,2018-04-08 02:00:00,738,,
351,2018-05-05 02:00:00,738,,
352,2020-03-21 01:00:00,738,70.0,
353,2019-03-03 01:00:00,738,,
354,2017-04-08 02:00:00,739,,
355,2018-05-01 02:00:00,739,1000.0,
356,2019-03-03 01:00:00,739,,
357,2019-03-03 01:00:00,739,400.0,
358,2018-09-16 02:00:00,739,120.0,
359,2019-09-19 02:00:00,739,200.0,
360,2018-04-30 02:00:00,741,200.0,
361,2020-02-29 01:00:00,741,1200.0,
362,2016-03-01 01:00:00,743,10000.0,
363,2018-10-20 02:00:00,743,1650.0,
364,2019-03-14 01:00:00,743,400.0,
365,2017-09-27 02:00:00,744,,
366,2020-04-17 02:00:00,747,,
367,2017-03-12 01:00:00,751,114.0,
368,2018-05-22 02:00:00,751,400.0,
369,2018-05-03 02:00:00,751,,
370,2018-05-13 02:00:00,752,114.0,
371,2018-05-26 02:00:00,752,,
372,2019-12-31 01:00:00,752,,
373,2017-05-21 02:00:00,766,,
374,2019-11-09 01:00:00,770,1200.0,
375,2018-05-31 02:00:00,770,,
376,2017-05-02 02:00:00,772,230.0,
377,2017-05-06 02:00:00,774,2500.0,
378,2017-05-08 02:00:00,774,,
379,2017-10-21 02:00:00,774,,
380,2018-04-22 02:00:00,774,1500.0,
381,2017-05-04 02:00:00,775,,
382,2018-04-26 02:00:00,776,,
383,2017-06-09 02:00:00,782,,
384,2018-05-04 02:00:00,782,900.0,
385,2018-10-01 02:00:00,782,,
386,2018-05-02 02:00:00,803,2000.0,
387,2017-05-02 02:00:00,804,250.0,
388,2017-09-30 02:00:00,804,,
389,2018-05-11 02:00:00,805,1000.0,
390,2017-11-22 01:00:00,808,,
391,2018-11-11 01:00:00,814,,
392,2018-05-05 02:00:00,815,550.0,
393,2018-05-13 02:00:00,837,40.0,
394,2020-02-03 01:00:00,837,4750.0,
395,2018-05-13 02:00:00,838,15.0,
396,2017-05-05 02:00:00,839,,
397,2018-04-26 02:00:00,839,,
398,2017-04-16 02:00:00,840,,
399,2017-06-03 02:00:00,840,,
400,2019-05-03 02:00:00,840,450.0,
401,2018-05-07 02:00:00,843,,
402,2017-10-06 02:00:00,846,670.0,
403,2018-07-04 02:00:00,846,,
404,2019-04-15 02:00:00,846,,
405,2018-05-04 02:00:00,846,450.0,
406,2018-05-03 02:00:00,846,,
407,2015-05-09 02:00:00,846,300.0,
